Year,Count,Source,Tipo
2020,119,Senado,Sessao
2021,193,Senado,Sessao
2022,143,Senado,Sessao
2023,216,Senado,Sessao
2024,136,Senado,Sessao
2021,347,Senado,Comissão
2021,73,Senado,CPI
2021,4,Senado,Grupo
2021,13,Senado,Subcomissão
2021,1,Senado,Frente
2021,1,Senado,Representação
2022,18,Senado,Subcomissão
2022,344,Senado,Comissão
2022,4,Senado,Grupo
2022,7,Senado,CPI
2022,2,Senado,Frente
2022,1,Senado,Representação
2023,759,Senado,Comissão
2023,10,Senado,Conselho
2023,17,Senado,Subcomissão
2023,33,Senado,CPI
2023,22,Senado,Frente
2023,20,Senado,Grupo
2023,2,Senado,Representação
2024,682,Senado,Comissão
2024,53,Senado,CPI
2024,14,Senado,Conselho
2024,20,Senado,Subcomissão
2024,8,Senado,Frente
2024,8,Senado,Grupo
2024,4,Senado,Representação
2025,77,Senado,Comissão
2025,7,Senado,CPI
2025,2,Senado,Frente
2025,6,Senado,Conselho
2025,2,Senado,Grupo
2016,36,Camara,Comissão
2016,8,Camara,Plenário
2017,38,Camara,Comissão
2017,10,Camara,Plenário
2017,1,Camara,CSSF-SUB.
2018,76,Camara,Plenário
2018,292,Camara,Comissão
2018,9,Camara,Conselho
2018,1,Camara,CESPO-SUB.
2019,711,Camara,Comissão
2019,246,Camara,Plenário
2019,14,Camara,SUBCOMISSÃO
2019,38,Camara,Grupo
2019,23,Camara,Conselho
2019,82,Camara,CPI
2019,17,Camara,Centro
2019,1,Camara,OUVIDORIA
2020,167,Camara,Plenário
2020,130,Camara,Comissão
2020,5,Camara,Centro
2020,5,Camara,Conselho
2020,3,Camara,Câmara
2020,4,Camara,CPI
2021,862,Camara,Comissão
2021,32,Camara,Centro
2021,52,Camara,Conselho
2021,249,Camara,Plenário
2021,44,Camara,Grupo
2021,8,Camara,Câmara
2021,1,Camara,CPI
2021,3,Camara,SUBCOMISSÃO
2021,1,Camara,GRUPO
2022,515,Camara,Comissão
2022,116,Camara,Plenário
2022,11,Camara,Conselho
2022,3,Camara,Centro
2022,19,Camara,Grupo
2023,821,Camara,Comissão
2023,126,Camara,Plenário
2023,13,Camara,Subcomissão
2023,91,Camara,CPI
2023,7,Camara,Centro
2023,17,Camara,Conselho
2023,41,Camara,Grupo
2024,1166,Camara,Comissão
2024,10,Camara,Centro
2024,30,Camara,Grupo
2024,110,Camara,Plenário
2024,17,Camara,Subcomissão
2024,18,Camara,Conselho
2024,1,Camara,
2025,140,Camara,Comissão
2025,35,Camara,Plenário
2025,1,Camara,Centro
2025,2,Camara,Conselho